City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
381,Ferkessedougou,CI,88.34,overcast clouds,9.6,-5.2,Hotel Chateau
382,Luanda,AO,78.8,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
386,Saint George,US,87.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
387,Nea Peramos,GR,79.81,clear sky,38.0076,23.423000000000002,stella
389,Agadez,NE,86.68,clear sky,19.75,10.25,
390,Port Blair,IN,83.37,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
394,Camacari,BR,82.4,scattered clouds,-12.6975,-38.3242,Hotel Cambuci
395,Sulphur,US,87.76,broken clouds,30.2366,-93.3774,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
397,Sai Buri,TH,78.44,moderate rain,6.7013,101.6168,ร้าน​ เวดดิ้ง
400,Rangapara,IN,75.36,overcast clouds,26.8167,92.65,Bidhan
401,Marawi,PH,75.0,overcast clouds,7.9986,124.2928,Derogongan Residence
404,Matara,LK,79.72,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
405,Caravelas,BR,75.31,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
415,Kununurra,AU,75.2,overcast clouds,-15.7667,128.7333,Hotel Kununurra
416,Cassilandia,BR,86.22,clear sky,-19.1133,-51.7342,Delirius Motel
427,Uaua,BR,86.67,clear sky,-9.8414,-39.4817,Hotel Uauá
439,Bouillante,GP,87.03,clear sky,16.1304,-61.7692,Gîtes Dardanelle
442,Houston,US,89.33,broken clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
447,Dicabisagan,PH,79.79,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
448,Itoman,JP,80.98,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
449,Camocim,BR,86.97,few clouds,-2.9022,-40.8411,Hotel Ilha do Amor
452,Wanning,CN,81.63,overcast clouds,18.8003,110.3967,Paradise Hotel
453,Aguada De Pasajeros,CU,89.6,broken clouds,22.385,-80.8508,Soles de Marti
454,Biloxi,US,87.8,scattered clouds,30.396,-88.8853,Golden Nugget Biloxi Hotel & Casino
457,Kampot,KH,78.94,overcast clouds,10.6167,104.1833,Two Moons Hotel
460,Bucerias,MX,84.18,clear sky,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
465,Mairang,IN,77.0,mist,25.5667,91.6333,St.Thomas Hostel
471,Beirut,LB,76.86,clear sky,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
472,Mattru,SL,78.39,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
473,Tomigusuku,JP,80.73,few clouds,26.185,127.675,Hotel Gran View Okinawa
474,Kotli Loharan,PK,89.49,clear sky,32.5883,74.4932,Ali bhi pan shop
477,Naze,JP,76.01,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
480,Bonthe,SL,82.51,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
482,Tatawin,TN,81.48,overcast clouds,32.9297,10.4518,Sangho Privilege Tataouine
483,Upata,VE,78.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
485,Khiri Mat,TH,84.0,overcast clouds,16.8333,99.8,ปั้นดินรีสอร์ท สุโขทัย
